Keys,pt_BR,fr_FR,en
ESPERANDO,Esperando jogadores,en attendre de joyeur,waiting players
CONECT_AND_PLAY,Logar para jogar,Faire login et jouer,Conect and play
PLAY_WITHOUT,Jogar sem login,Jouer sans login,Play without login
CONFIG,Configurações,Configuration,Settings
EXIT,Sair do jogo,Sortir de jeux,Exit
PASSWORD,Senha,Mot de passe,Password
CONFIRM,Confirmar,Confirmer,Confirm
CREATE_ACCOUNT,Criar conta,créer une compte,Create account
RETURN,Voltar,retourner,Return
YOUR_IP,Seu ip,Votre IP,Your IP
CONECT_TO_HOST,Conectar ao host,connecter aux host,Conect to host
CREATE_HOST,Criar host,Créer un host,create host
JOGADOR,Jogador,Joeur,Player
SELECIONAR CLASSE,Selecionar classe,Selectioner une classe,Select Class
START_GAME,Começar o jogo,commencer le jeux,Start game
CONNECT_FAIL,Erro ao conectar ,erreur de connection au serveur,Connection fail
CONNECTING,Contectando...,En faire de conection,Connecting
INVALID_IP,IP invalido,IP invalide,Invalid IP
INSERT_NICK,Insira um Nick ,Met un nom,Insert Nick Name
Play_solo,Jogar sozinho,Jouer en solo,Play solo
SELECT_STAGE,Selecionar fase,Selectioner stage,Select Stage
Login_with_email,Logar com email,Faire login avec email,Login with email
Language:,Idioma:,Langue:,Language:
IPV6 INDISPONIVEL,IPV6 indisponivel,IPV6 non disponible,IPV¨unavailable
IPV4 Local,Seu IPV4,Votre IPV4,You4 IPV4
AMMO_ACOUNT,Munição,Ammo,Ammo
balas,Munição,Ammo,Ammo
Missao,"Espere o barco de resgate chegar, tempo restante:","wait for the rescue boat, time remaining:","attendre le canot de secours, le temps restant:"